# lambda  	 theta 	 Rs 	 Rp 	 Ts 	 Tp
312.0 16.0 0.4571759987 0.4306753257 0.3676346195 0.3867178745
312.0 18.0 0.4620439793 0.4283669449 0.3638430389 0.3880632798
312.0 20.0 0.4674625273 0.4256970985 0.3596333014 0.3896283578
312.0 22.0 0.4734249395 0.4226365887 0.3550142707 0.3914330415
312.0 24.0 0.4799242128 0.4191534709 0.3499954682 0.3934991333
312.0 26.0 0.4869531933 0.4152131044 0.3445869643 0.3958502672
312.0 28.0 0.4945047468 0.4107781903 0.3387992533 0.3985118795
312.0 30.0 0.5025719498 0.4058087955 0.3326431096 0.4015111883
312.0 32.0 0.5111482967 0.4002623627 0.3261294285 0.4048771822
312.0 34.0 0.5202279223 0.3940937079 0.3192690521 0.4086406170
312.0 36.0 0.5298058327 0.3872550111 0.3120725844 0.4128340170
312.0 38.0 0.5398781388 0.3796958089 0.3045501981 0.4174916759
312.0 40.0 0.5504422866 0.3713630020 0.2967114380 0.4226496476
312.0 42.0 0.5614972754 0.3622009019 0.2885650259 0.4283457123
312.0 44.0 0.5730438554 0.3521513478 0.2801186721 0.4346192967
312.0 46.0 0.5850846967 0.3411539462 0.2713788993 0.4415113146
312.0 48.0 0.5976245205 0.3291465049 0.2623508838 0.4490638810
312.0 50.0 0.6106701834 0.3160657740 0.2530383210 0.4573198244
312.0 52.0 0.6242307079 0.3018486556 0.2434433182 0.4663218929
312.0 54.0 0.6383172512 0.2864341302 0.2335663208 0.4761114889
312.0 56.0 0.6529430071 0.2697662711 0.2234060754 0.4867266901
312.0 58.0 0.6681230371 0.2517989129 0.2129596323 0.4981991813
312.0 60.0 0.6838740286 0.2325028505 0.2022223899 0.5105495226
312.0 62.0 0.7002139806 0.2118769328 0.1911881806 0.5237798517
312.0 64.0 0.7171618213 0.1899652180 0.1798493992 0.5378625946
312.0 66.0 0.7347369618 0.1668836761 0.1681971703 0.5527228846
312.0 68.0 0.7529587973 0.1428621601 0.1562215513 0.5682109167
312.0 70.0 0.7718461677 0.1183112248 0.1439117663 0.5840579202
312.0 72.0 0.7914167932 0.0939302080 0.1312564644 0.5998049184
312.0 74.0 0.8116867039 0.0708854441 0.1182439939 0.6146852280
312.0 76.0 0.8326696860 0.0511108856 0.1048626829 0.6274262016
312.0 78.0 0.8543767639 0.0378289661 0.0911011173 0.6359056424
312.0 80.0 0.8768157461 0.0364817259 0.0769484049 0.6365374614
312.0 82.0 0.8999908538 0.0564571118 0.0623944148 0.6231324728
312.0 84.0 0.9239024547 0.1144278324 0.0474299837 0.5846946452
312.0 86.0 0.9485469189 0.2411322601 0.0320470785 0.5009447226
312.0 88.0 0.9739166076 0.4959313472 0.0162389111 0.3327088967
312.0 90.0 1.0000000000 1.0000000000 0.0000000000 0.0000000000
314.0 0.0 0.4454088762 0.4454088762 0.3832561773 0.3832561773
314.0 2.0 0.4456939077 0.4452849464 0.3830287362 0.3833285185
314.0 4.0 0.4465485871 0.4449115650 0.3823469198 0.3835466479
314.0 6.0 0.4479716739 0.4442839626 0.3812122462 0.3839138786
314.0 8.0 0.4499611145 0.4433942132 0.3796272372 0.3844357166
314.0 10.0 0.4525140652 0.4422312672 0.3775954043 0.3851198371
314.0 12.0 0.4556269252 0.4407809950 0.3751212279 0.3859760542
314.0 14.0 0.4592953817 0.4390262399 0.3722101284 0.3870162834
314.0 16.0 0.4635144704 0.4369468754 0.3688684268 0.3882545007
314.0 18.0 0.4682786507 0.4345198654 0.3651032937 0.3897066996
314.0 20.0 0.4735818995 0.4317193241 0.3609226848 0.3913908477
314.0 22.0 0.4794178243 0.4285165699 0.3563352618 0.3933268466
314.0 24.0 0.4857797962 0.4248801724 0.3513502964 0.3955364965
314.0 26.0 0.4926611042 0.4207759878 0.3459775580 0.3980434681
314.0 28.0 0.5000551284 0.4161671816 0.3402271847 0.4008732825
314.0 30.0 0.5079555326 0.4110142350 0.3341095371 0.4040533022
314.0 32.0 0.5163564723 0.4052749377 0.3276350376 0.4076127308
314.0 34.0 0.5252528147 0.3989043660 0.3208139966 0.4115826227
314.0 36.0 0.5346403660 0.3918548522 0.3136564285 0.4159958988
314.0 38.0 0.5445160997 0.3840759531 0.3061718617 0.4208873634
314.0 40.0 0.5548783794 0.3755144305 0.2983691456 0.4262937128
314.0 42.0 0.5657271686 0.3661142641 0.2902562611 0.4322535237
314.0 44.0 0.5770642181 0.3558167293 0.2818401385 0.4388071981
314.0 46.0 0.5888932240 0.3445605872 0.2731264889 0.4459968353
314.0 48.0 0.6012199465 0.3322824563 0.2641196546 0.4538659818
314.0 50.0 0.6140522817 0.3189174732 0.2548224829 0.4624591906
314.0 52.0 0.6274002781 0.3044003997 0.2452362305 0.4718212826
314.0 54.0 0.6412760913 0.2886674136 0.2353605001 0.4819961518
314.0 56.0 0.6556938714 0.2716589453 0.2251932159 0.4930248729
314.0 58.0 0.6706695779 0.2533241121 0.2147306388 0.5049427413
314.0 60.0 0.6862207223 0.2336276043 0.2039674242 0.5177746733
314.0 62.0 0.7023660367 0.2125603652 0.1928967230 0.5315280694
314.0 64.0 0.7191250727 0.1901561942 0.1815103255 0.5461817118
314.0 66.0 0.7365177369 0.1665177221 0.1697988444 0.5616683895
314.0 68.0 0.7545637713 0.1418574340 0.1577519360 0.5778474442
314.0 70.0 0.7732821934 0.1165632930 0.1453585515 0.5944608377
314.0 72.0 0.7926907097 0.0913054164 0.1326072136 0.6110617129
314.0 74.0 0.8128051244 0.0672129180 0.1194863090 0.6268959338
314.0 76.0 0.8336387629 0.0461740081 0.1059843866 0.6407010081
314.0 78.0 0.8552019346 0.0313595776 0.0920904527 0.6503551916
314.0 80.0 0.8775014604 0.0281670236 0.0777942494 0.6522448296
314.0 82.0 0.9005402857 0.0459883140 0.0630865067 0.6400789847
314.0 84.0 0.9243172043 0.1016755495 0.0479591576 0.6025656147
314.0 86.0 0.9488267073 0.2267060426 0.0324055064 0.5186062923
314.0 88.0 0.9740589729 0.4829533588 0.0164203428 0.3467176887
314.0 90.0 1.0000000000 1.0000000000 0.0000000000 0.0000000000
316.0 0.0 0.4515547665 0.4515547665 0.3846318774 0.3846318774
316.0 2.0 0.4518337387 0.4514237853 0.3844061262 0.3847105252
316.0 4.0 0.4526702503 0.4510292876 0.3837293732 0.3849475659
316.0 6.0 0.4540630917 0.4503666173 0.3826031183 0.3853462874
316.0 8.0 0.4560102632 0.4494280342 0.3810298505 0.3859121552
316.0 10.0 0.4585090006 0.4482027427 0.3790130320 0.3866527917
316.0 12.0 0.4615558127 0.4466769299 0.3765570742 0.3875779484
316.0 14.0 0.4651465318 0.4448338103 0.3736673040 0.3886994734
316.0 16.0 0.4692763785 0.4426536751 0.3703499205 0.3900312751
316.0 18.0 0.4739400439 0.4401139423 0.3666119388 0.3915892853
316.0 20.0 0.4791317885 0.4371892054 0.3624611207 0.3933914219
316.0 22.0 0.4848455605 0.4338512758 0.3579058904 0.3954575567
316.0 24.0 0.4910751341 0.4300692171 0.3529552346 0.3978094871
316.0 26.0 0.4978142667 0.4258093677 0.3476185860 0.4004709164
316.0 28.0 0.5050568754 0.4210353490 0.3419056915 0.4034674434
316.0 30.0 0.5127972301 0.4157080581 0.3358264635 0.4068265619
