x(m)	y(m)	Flux(W/m2)
2.88525	-1.8913	120318
3.01639	-1.8913	30079.6
3.14754	-1.8913	45119.4
3.27869	-1.8913	15039.8
3.40984	-1.8913	15039.8
3.54098	-1.8913	15039.8
3.67213	-1.8913	30079.6
3.80328	-1.8913	15039.8
3.93443	-1.8913	0
-3.93443	-1.76087	0
-3.80328	-1.76087	0
-3.67213	-1.76087	30079.6
-3.54098	-1.76087	0
-3.40984	-1.76087	15039.8
-3.27869	-1.76087	15039.8
-3.14754	-1.76087	30079.6
-3.01639	-1.76087	90238.7
-2.88525	-1.76087	45119.4
-2.7541	-1.76087	90238.7
-2.62295	-1.76087	90238.7
-2.4918	-1.76087	195517
-2.36066	-1.76087	180477
-2.22951	-1.76087	255676
-2.09836	-1.76087	330875
-1.96721	-1.76087	285756
-1.83607	-1.76087	270716
-1.70492	-1.76087	375995
-1.57377	-1.76087	300796
-1.44262	-1.76087	375995
-1.31148	-1.76087	451194
-1.18033	-1.76087	436154
-1.04918	-1.76087	661751
-0.918033	-1.76087	466234
-0.786885	-1.76087	706870
-0.655738	-1.76087	691830
-0.52459	-1.76087	1.08286e+06
-0.393443	-1.76087	857268
-0.262295	-1.76087	932467
-0.131148	-1.76087	932467
4.44089e-16	-1.76087	917427
0.131148	-1.76087	887348
0.262295	-1.76087	962547
0.393443	-1.76087	917427
0.52459	-1.76087	751990
0.655738	-1.76087	812149
0.786885	-1.76087	827189
0.918033	-1.76087	541432
1.04918	-1.76087	782069
1.18033	-1.76087	526393
1.31148	-1.76087	571512
1.44262	-1.76087	285756
1.57377	-1.76087	195517
1.70492	-1.76087	436154
1.83607	-1.76087	315836
1.96721	-1.76087	300796
2.09836	-1.76087	255676
2.22951	-1.76087	240637
2.36066	-1.76087	150398
2.4918	-1.76087	135358
2.62295	-1.76087	90238.7
2.7541	-1.76087	90238.7
2.88525	-1.76087	60159.2
3.01639	-1.76087	30079.6
3.14754	-1.76087	30079.6
3.27869	-1.76087	60159.2
3.40984	-1.76087	0
3.54098	-1.76087	45119.4
3.67213	-1.76087	30079.6
3.80328	-1.76087	15039.8
3.93443	-1.76087	15039.8
-3.93443	-1.63043	0
-3.80328	-1.63043	15039.8
-3.67213	-1.63043	15039.8
-3.54098	-1.63043	15039.8
-3.40984	-1.63043	60159.2
-3.27869	-1.63043	15039.8
-3.14754	-1.63043	60159.2
-3.01639	-1.63043	90238.7
-2.88525	-1.63043	60159.2
-2.7541	-1.63043	60159.2
-2.62295	-1.63043	270716
-2.4918	-1.63043	225597
-2.36066	-1.63043	225597
-2.22951	-1.63043	225597
-2.09836	-1.63043	210557
-1.96721	-1.63043	240637
-1.83607	-1.63043	360955
-1.70492	-1.63043	421114
-1.57377	-1.63043	556472
-1.44262	-1.63043	511353
-1.31148	-1.63043	601592
-1.18033	-1.63043	661751
-1.04918	-1.63043	842228
-0.918033	-1.63043	767029
-0.786885	-1.63043	812149
-0.655738	-1.63043	1.05279e+06
-0.52459	-1.63043	1.14302e+06
-0.393443	-1.63043	1.14302e+06
-0.262295	-1.63043	812149
-0.131148	-1.63043	1.05279e+06
4.44089e-16	-1.63043	962547
0.131148	-1.63043	1.2483e+06
0.262295	-1.63043	932467
0.393443	-1.63043	977586
0.52459	-1.63043	1.08286e+06
0.655738	-1.63043	917427
0.786885	-1.63043	782069
0.918033	-1.63043	661751
1.04918	-1.63043	782069
1.18033	-1.63043	827189
1.31148	-1.63043	526393
1.44262	-1.63043	481273
1.57377	-1.63043	496313
1.70492	-1.63043	406074
1.83607	-1.63043	406074
1.96721	-1.63043	481273
2.09836	-1.63043	210557
2.22951	-1.63043	90238.7
2.36066	-1.63043	120318
2.4918	-1.63043	240637
2.62295	-1.63043	150398
2.7541	-1.63043	90238.7
2.88525	-1.63043	60159.2
3.01639	-1.63043	60159.2
3.14754	-1.63043	45119.4
3.27869	-1.63043	15039.8
3.40984	-1.63043	30079.6
3.54098	-1.63043	15039.8
3.67213	-1.63043	15039.8
3.80328	-1.63043	0
3.93443	-1.63043	30079.6
-3.93443	-1.5	15039.8
-3.80328	-1.5	15039.8
-3.67213	-1.5	30079.6
-3.54098	-1.5	45119.4
-3.40984	-1.5	60159.2
-3.27869	-1.5	15039.8
-3.14754	-1.5	60159.2
-3.01639	-1.5	90238.7
-2.88525	-1.5	120318
-2.7541	-1.5	75199
-2.62295	-1.5	150398
-2.4918	-1.5	210557
-2.36066	-1.5	391035
-2.22951	-1.5	255676
-2.09836	-1.5	436154
-1.96721	-1.5	315836
-1.83607	-1.5	360955
-1.70492	-1.5	481273
-1.57377	-1.5	466234
-1.44262	-1.5	556472
-1.31148	-1.5	797109
-1.18033	-1.5	887348
-1.04918	-1.5	872308
-0.918033	-1.5	1.11294e+06
-0.786885	-1.5	1.03775e+06
-0.655738	-1.5	1.50398e+06
-0.52459	-1.5	902387
-0.393443	-1.5	1.3235e+06
-0.262295	-1.5	1.12798e+06
-0.131148	-1.5	1.12798e+06
4.44089e-16	-1.5	1.1731e+06
0.131148	-1.5	1.60926e+06
0.262295	-1.5	1.3235e+06
0.393443	-1.5	1.14302e+06
0.52459	-1.5	992626
0.655738	-1.5	1.15806e+06
0.786885	-1.5	1.1731e+06
0.918033	-1.5	1.23326e+06
1.04918	-1.5	1.08286e+06
1.18033	-1.5	962547
1.31148	-1.5	691830
1.44262	-1.5	736950
1.57377	-1.5	691830
1.70492	-1.5	556472
1.83607	-1.5	586552
1.96721	-1.5	466234
2.09836	-1.5	270716
2.22951	-1.5	285756
2.36066	-1.5	300796
2.4918	-1.5	225597
2.62295	-1.5	195517
2.7541	-1.5	90238.7
2.88525	-1.5	60159.2
3.01639	-1.5	60159.2
3.14754	-1.5	120318
3.27869	-1.5	60159.2
3.40984	-1.5	45119.4
3.54098	-1.5	30079.6
3.67213	-1.5	0
3.80328	-1.5	0
3.93443	-1.5	30079.6
-3.93443	-1.36957	30079.6
-3.80328	-1.36957	30079.6
-3.67213	-1.36957	15039.8
-3.54098	-1.36957	45119.4
-3.40984	-1.36957	60159.2
-3.27869	-1.36957	105279
-3.14754	-1.36957	120318
-3.01639	-1.36957	45119.4
-2.88525	-1.36957	105279
-2.7541	-1.36957	120318
-2.62295	-1.36957	180477
-2.4918	-1.36957	285756
-2.36066	-1.36957	195517
-2.22951	-1.36957	421114
-2.09836	-1.36957	391035
-1.96721	-1.36957	616631
-1.83607	-1.36957	616631
-1.70492	-1.36957	646711
-1.57377	-1.36957	797109
-1.44262	-1.36957	977586
-1.31148	-1.36957	962547
-1.18033	-1.36957	1.05279e+06
-1.04918	-1.36957	1.08286e+06
-0.918033	-1.36957	1.1731e+06
-0.786885	-1.36957	1.27838e+06
-0.655738	-1.36957	1.29342e+06
-0.52459	-1.36957	1.5491e+06
-0.393443	-1.36957	1.57918e+06
-0.262295	-1.36957	1.41374e+06
-0.131148	-1.36957	1.4739e+06
4.44089e-16	-1.36957	1.53406e+06
0.131148	-1.36957	1.7747e+06
0.262295	-1.36957	1.6995e+06
